total_bill,smoker,day,size,Male,Female,Lunch,Dinner
16.99,0,2,2,0,1,0,1
10.34,0,2,3,1,0,0,1
21.01,0,2,3,1,0,0,1
23.68,0,2,2,1,0,0,1
24.59,0,2,4,0,1,0,1
25.29,0,2,4,1,0,0,1
8.77,0,2,2,1,0,0,1
26.88,0,2,4,1,0,0,1
15.04,0,2,2,1,0,0,1
14.78,0,2,2,1,0,0,1
10.27,0,2,2,1,0,0,1
35.26,0,2,4,0,1,0,1
15.42,0,2,2,1,0,0,1
18.43,0,2,4,1,0,0,1
14.83,0,2,2,0,1,0,1
21.58,0,2,2,1,0,0,1
10.33,0,2,3,0,1,0,1
16.29,0,2,3,1,0,0,1
16.97,0,2,3,0,1,0,1
20.65,0,1,3,1,0,0,1
17.92,0,1,2,1,0,0,1
20.29,0,1,2,0,1,0,1
15.77,0,1,2,0,1,0,1
39.42,0,1,4,1,0,0,1
19.82,0,1,2,1,0,0,1
17.81,0,1,4,1,0,0,1
13.37,0,1,2,1,0,0,1
12.69,0,1,2,1,0,0,1
21.7,0,1,2,1,0,0,1
19.65,0,1,2,0,1,0,1
9.55,0,1,2,1,0,0,1
18.35,0,1,4,1,0,0,1
15.06,0,1,2,0,1,0,1
20.69,0,1,4,0,1,0,1
17.78,0,1,2,1,0,0,1
24.06,0,1,3,1,0,0,1
16.31,0,1,3,1,0,0,1
16.93,0,1,3,0,1,0,1
18.69,0,1,3,1,0,0,1
31.27,0,1,3,1,0,0,1
16.04,0,1,3,1,0,0,1
17.46,0,2,2,1,0,0,1
13.94,0,2,2,1,0,0,1
9.68,0,2,2,1,0,0,1
30.4,0,2,4,1,0,0,1
18.29,0,2,2,1,0,0,1
22.23,0,2,2,1,0,0,1
32.4,0,2,4,1,0,0,1
28.55,0,2,3,1,0,0,1
18.04,0,2,2,1,0,0,1
12.54,0,2,2,1,0,0,1
10.29,0,2,2,0,1,0,1
34.81,0,2,4,0,1,0,1
9.94,0,2,2,1,0,0,1
25.56,0,2,4,1,0,0,1
19.49,0,2,2,1,0,0,1
38.01,1,1,4,1,0,0,1
26.41,0,1,2,0,1,0,1
11.24,1,1,2,1,0,0,1
48.27,0,1,4,1,0,0,1
20.29,1,1,2,1,0,0,1
13.81,1,1,2,1,0,0,1
11.02,1,1,2,1,0,0,1
18.29,1,1,4,1,0,0,1
17.59,0,1,3,1,0,0,1
20.08,0,1,3,1,0,0,1
16.45,0,1,2,0,1,0,1
3.07,1,1,1,0,1,0,1
20.23,0,1,2,1,0,0,1
15.01,1,1,2,1,0,0,1
12.02,0,1,2,1,0,0,1
17.07,0,1,3,0,1,0,1
26.86,1,1,2,0,1,0,1
25.28,1,1,2,0,1,0,1
14.73,0,1,2,0,1,0,1
10.51,0,1,2,1,0,0,1
17.92,1,1,2,1,0,0,1
27.2,0,3,4,1,0,1,0
22.76,0,3,2,1,0,1,0
17.29,0,3,2,1,0,1,0
19.44,1,3,2,1,0,1,0
16.66,0,3,2,1,0,1,0
10.07,0,3,1,0,1,1,0
32.68,1,3,2,1,0,1,0
15.98,0,3,2,1,0,1,0
34.83,0,3,4,0,1,1,0
13.03,0,3,2,1,0,1,0
18.28,0,3,2,1,0,1,0
24.71,0,3,2,1,0,1,0
21.16,0,3,2,1,0,1,0
28.97,1,0,2,1,0,0,1
22.49,0,0,2,1,0,0,1
5.75,1,0,2,0,1,0,1
16.32,1,0,2,0,1,0,1
22.75,0,0,2,0,1,0,1
40.17,1,0,4,1,0,0,1
27.28,1,0,2,1,0,0,1
12.03,1,0,2,1,0,0,1
21.01,1,0,2,1,0,0,1
12.46,0,0,2,1,0,0,1
11.35,1,0,2,0,1,0,1
15.38,1,0,2,0,1,0,1
44.3,1,1,3,0,1,0,1
22.42,1,1,2,0,1,0,1
20.92,0,1,2,0,1,0,1
15.36,1,1,2,1,0,0,1
20.49,1,1,2,1,0,0,1
25.21,1,1,2,1,0,0,1
18.24,0,1,2,1,0,0,1
14.31,1,1,2,0,1,0,1
14.0,0,1,2,1,0,0,1
7.25,0,1,1,0,1,0,1
38.07,0,2,3,1,0,0,1
23.95,0,2,2,1,0,0,1
25.71,0,2,3,0,1,0,1
17.31,0,2,2,0,1,0,1
29.93,0,2,4,1,0,0,1
10.65,0,3,2,0,1,1,0
12.43,0,3,2,0,1,1,0
24.08,0,3,4,0,1,1,0
11.69,0,3,2,1,0,1,0
13.42,0,3,2,0,1,1,0
14.26,0,3,2,1,0,1,0
15.95,0,3,2,1,0,1,0
12.48,0,3,2,0,1,1,0
29.8,0,3,6,0,1,1,0
8.52,0,3,2,1,0,1,0
14.52,0,3,2,0,1,1,0
11.38,0,3,2,0,1,1,0
22.82,0,3,3,1,0,1,0
19.08,0,3,2,1,0,1,0
20.27,0,3,2,0,1,1,0
11.17,0,3,2,0,1,1,0
12.26,0,3,2,0,1,1,0
18.26,0,3,2,0,1,1,0
8.51,0,3,2,0,1,1,0
10.33,0,3,2,0,1,1,0
14.15,0,3,2,0,1,1,0
16.0,1,3,2,1,0,1,0
13.16,0,3,2,0,1,1,0
17.47,0,3,2,0,1,1,0
34.3,0,3,6,1,0,1,0
41.19,0,3,5,1,0,1,0
27.05,0,3,6,0,1,1,0
16.43,0,3,2,0,1,1,0
8.35,0,3,2,0,1,1,0
18.64,0,3,3,0,1,1,0
11.87,0,3,2,0,1,1,0
9.78,0,3,2,1,0,1,0
7.51,0,3,2,1,0,1,0
14.07,0,2,2,1,0,0,1
13.13,0,2,2,1,0,0,1
17.26,0,2,3,1,0,0,1
24.55,0,2,4,1,0,0,1
19.77,0,2,4,1,0,0,1
29.85,0,2,5,0,1,0,1
48.17,0,2,6,1,0,0,1
25.0,0,2,4,0,1,0,1
13.39,0,2,2,0,1,0,1
16.49,0,2,4,1,0,0,1
21.5,0,2,4,1,0,0,1
12.66,0,2,2,1,0,0,1
16.21,0,2,3,0,1,0,1
13.81,0,2,2,1,0,0,1
17.51,1,2,2,0,1,0,1
24.52,0,2,3,1,0,0,1
20.76,0,2,2,1,0,0,1
31.71,0,2,4,1,0,0,1
10.59,1,1,2,0,1,0,1
10.63,1,1,2,0,1,0,1
50.81,1,1,3,1,0,0,1
15.81,1,1,2,1,0,0,1
7.25,1,2,2,1,0,0,1
31.85,1,2,2,1,0,0,1
16.82,1,2,2,1,0,0,1
32.9,1,2,2,1,0,0,1
17.89,1,2,2,1,0,0,1
14.48,1,2,2,1,0,0,1
9.6,1,2,2,0,1,0,1
34.63,1,2,2,1,0,0,1
34.65,1,2,4,1,0,0,1
23.33,1,2,2,1,0,0,1
45.35,1,2,3,1,0,0,1
23.17,1,2,4,1,0,0,1
40.55,1,2,2,1,0,0,1
20.69,0,2,5,1,0,0,1
20.9,1,2,3,0,1,0,1
30.46,1,2,5,1,0,0,1
18.15,1,2,3,0,1,0,1
23.1,1,2,3,1,0,0,1
15.69,1,2,2,1,0,0,1
19.81,1,3,2,0,1,1,0
28.44,1,3,2,1,0,1,0
15.48,1,3,2,1,0,1,0
16.58,1,3,2,1,0,1,0
7.56,0,3,2,1,0,1,0
10.34,1,3,2,1,0,1,0
43.11,1,3,4,0,1,1,0
13.0,1,3,2,0,1,1,0
13.51,1,3,2,1,0,1,0
18.71,1,3,3,1,0,1,0
12.74,1,3,2,0,1,1,0
13.0,1,3,2,0,1,1,0
16.4,1,3,2,0,1,1,0
20.53,1,3,4,1,0,1,0
16.47,1,3,3,0,1,1,0
26.59,1,1,3,1,0,0,1
38.73,1,1,4,1,0,0,1
24.27,1,1,2,1,0,0,1
12.76,1,1,2,0,1,0,1
30.06,1,1,3,1,0,0,1
25.89,1,1,4,1,0,0,1
48.33,0,1,4,1,0,0,1
13.27,1,1,2,0,1,0,1
28.17,1,1,3,0,1,0,1
12.9,1,1,2,0,1,0,1
28.15,1,1,5,1,0,0,1
11.59,1,1,2,1,0,0,1
7.74,1,1,2,1,0,0,1
30.14,1,1,4,0,1,0,1
12.16,1,0,2,1,0,1,0
13.42,1,0,2,0,1,1,0
8.58,1,0,1,1,0,1,0
15.98,0,0,3,0,1,1,0
13.42,1,0,2,1,0,1,0
16.27,1,0,2,0,1,1,0
10.09,1,0,2,0,1,1,0
20.45,0,1,4,1,0,0,1
13.28,0,1,2,1,0,0,1
22.12,1,1,2,0,1,0,1
24.01,1,1,4,1,0,0,1
15.69,1,1,3,1,0,0,1
11.61,0,1,2,1,0,0,1
10.77,0,1,2,1,0,0,1
15.53,1,1,2,1,0,0,1
10.07,0,1,2,1,0,0,1
12.6,1,1,2,1,0,0,1
32.83,1,1,2,1,0,0,1
35.83,0,1,3,0,1,0,1
29.03,0,1,3,1,0,0,1
27.18,1,1,2,0,1,0,1
22.67,1,1,2,1,0,0,1
17.82,0,1,2,1,0,0,1
18.78,0,3,2,0,1,0,1
